SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Actual_0,Predicted_0,Quantile_0.05_Timestep_0,Quantile_0.25_Timestep_0,Quantile_0.50_Timestep_0,Quantile_0.75_Timestep_0,Quantile_0.95_Timestep_0,Actual_1,Predicted_1,Quantile_0.05_Timestep_1,Quantile_0.25_Timestep_1,Quantile_0.50_Timestep_1,Quantile_0.75_Timestep_1,Quantile_0.95_Timestep_1,Actual_2,Predicted_2,Quantile_0.05_Timestep_2,Quantile_0.25_Timestep_2,Quantile_0.50_Timestep_2,Quantile_0.75_Timestep_2,Quantile_0.95_Timestep_2,Actual_3,Predicted_3,Quantile_0.05_Timestep_3,Quantile_0.25_Timestep_3,Quantile_0.50_Timestep_3,Quantile_0.75_Timestep_3,Quantile_0.95_Timestep_3,Actual_4,Predicted_4,Quantile_0.05_Timestep_4,Quantile_0.25_Timestep_4,Quantile_0.50_Timestep_4,Quantile_0.75_Timestep_4,Quantile_0.95_Timestep_4
1,Bitcoin,BTC,2013-04-29 23:59:59,147.48800659179688,134.0,134.44400024414062,144.5399932861328,0.0,1603768864.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bitcoin,BTC,2013-04-30 23:59:59,146.92999267578125,134.0500030517578,144.0,139.0,0.0,1542813125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bitcoin,BTC,2013-05-01 23:59:59,139.88999938964844,107.72000122070312,139.0,116.98999786376952,0.0,1298954593.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bitcoin,BTC,2013-05-02 23:59:59,125.5999984741211,92.28189849853516,116.37999725341795,105.20999908447266,0.0,1168517495.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bitcoin,BTC,2013-05-03 23:59:59,108.12799835205078,79.0999984741211,106.25,97.75,0.0,1085995168.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bitcoin,BTC,2013-05-04 23:59:59,115.0,92.5,98.0999984741211,112.5,0.0,1250316562.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bitcoin,BTC,2013-05-05 23:59:59,118.8000030517578,107.14299774169922,112.9000015258789,115.91000366210938,0.0,1288693175.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bitcoin,BTC,2013-05-06 23:59:59,124.66300201416016,106.63999938964844,115.9800033569336,112.3000030517578,0.0,1249023060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bitcoin,BTC,2013-05-07 23:59:59,113.44400024414062,97.6999969482422,112.25,111.5,0.0,1240593600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bitcoin,BTC,2013-05-08 23:59:59,115.77999877929688,109.5999984741211,109.5999984741211,113.56600189208984,0.0,1264049202.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bitcoin,BTC,2013-05-09 23:59:59,113.45999908447266,109.26000213623048,113.1999969482422,112.66999816894533,0.0,1254535382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bitcoin,BTC,2013-05-10 23:59:59,122.0,111.5510025024414,112.79900360107422,117.1999969482422,0.0,1305479080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bitcoin,BTC,2013-05-11 23:59:59,118.6790008544922,113.01000213623048,117.6999969482422,115.24299621582033,0.0,1284207489.42,115.243,454.95264,82.42835,111.160194,126.2458,148.69717,192.74516,115.0,467.04657,85.581184,106.53629,132.02159,155.13013,209.71243,117.98,363.91934,62.092678,109.38365,124.44998,151.40044,217.73189,111.5,319.14203,86.773026,104.86493,120.59072,149.42781,220.6504,114.22,289.8513,72.74986,119.459656,131.32014,153.12401,240.13481
